round_id,published_at,public_figure,panelist,outcome,playable
ko-235,2022-03-25T10:50:00-03:00,Fabrício Queiroz,Ana Clara Costa,winner,true
ko-234,2022-04-01T10:50:00-03:00,Cláudio Castro,Fernando de Barros e Silva,did_not_win,false
ko-234,2022-04-01T10:50:00-03:00,Cláudio Castro,Thais Bilenky,did_not_win,false
ko-234,2022-04-01T10:50:00-03:00,Cláudio Castro,Ana Clara Costa,did_not_win,false
ko-233,2022-04-08T10:50:00-03:00,Rodrigo Maia,Fernando de Barros e Silva,did_not_win,true
ko-233,2022-04-08T10:50:00-03:00,Rodrigo Maia,José Roberto de Toledo,did_not_win,true
ko-233,2022-04-08T10:50:00-03:00,Rodrigo Maia,Thais Bilenky,winner,true
ko-232,2022-04-15T09:53:07-03:00,Luiz Henrique Mandetta,Fernando de Barros e Silva,did_not_win,true
ko-232,2022-04-15T09:53:07-03:00,Luiz Henrique Mandetta,José Roberto de Toledo,winner,true
ko-232,2022-04-15T09:53:07-03:00,Luiz Henrique Mandetta,Thais Bilenky,did_not_win,true
ko-231,2022-04-22T10:50:00-03:00,Gregório do Vivier,Fernando de Barros e Silva,winner,true
ko-231,2022-04-22T10:50:00-03:00,Gregório do Vivier,José Roberto de Toledo,did_not_win,true
ko-231,2022-04-22T10:50:00-03:00,Gregório do Vivier,Thais Bilenky,did_not_win,true
ko-230,2022-04-29T10:50:00-03:00,Michelle Bolsonaro,Fernando de Barros e Silva,winner,true
ko-230,2022-04-29T10:50:00-03:00,Michelle Bolsonaro,José Roberto de Toledo,did_not_win,true
ko-230,2022-04-29T10:50:00-03:00,Michelle Bolsonaro,Thais Bilenky,did_not_win,true
ko-229,2022-05-06T10:50:00-03:00,Heloísa Helena,Fernando de Barros e Silva,did_not_win,false
ko-229,2022-05-06T10:50:00-03:00,Heloísa Helena,José Roberto de Toledo,did_not_win,false
ko-229,2022-05-06T10:50:00-03:00,Heloísa Helena,Thais Bilenky,did_not_win,false
ko-228,2022-05-13T10:50:00-03:00,Rodrigo Garcia,Fernando de Barros e Silva,winner,true
ko-228,2022-05-13T10:50:00-03:00,Rodrigo Garcia,José Roberto de Toledo,did_not_win,true
ko-228,2022-05-13T10:50:00-03:00,Rodrigo Garcia,Thais Bilenky,did_not_win,true
ko-227,2022-05-20T10:50:00-03:00,Pastor Henrique Vieira,Fernando de Barros e Silva,did_not_win,false
ko-227,2022-05-20T10:50:00-03:00,Pastor Henrique Vieira,José Roberto de Toledo,did_not_win,false
ko-227,2022-05-20T10:50:00-03:00,Pastor Henrique Vieira,Ana Clara Costa,did_not_win,false
ko-226,2022-05-27T10:50:00-03:00,Fabiano Guimarães,Fernando de Barros e Silva,did_not_win,true
ko-226,2022-05-27T10:50:00-03:00,Fabiano Guimarães,José Roberto de Toledo,did_not_win,true
ko-226,2022-05-27T10:50:00-03:00,Fabiano Guimarães,Ana Clara Costa,winner,true
ko-225,2022-06-03T10:50:00-03:00,Eduardo Cunha,Fernando de Barros e Silva,did_not_win,false
ko-225,2022-06-03T10:50:00-03:00,Eduardo Cunha,José Roberto de Toledo,did_not_win,false
ko-225,2022-06-03T10:50:00-03:00,Eduardo Cunha,Thais Bilenky,did_not_win,false
ko-224,2022-06-10T10:50:00-03:00,Tiago Leifert,Fernando de Barros e Silva,did_not_win,false
ko-224,2022-06-10T10:50:00-03:00,Tiago Leifert,José Roberto de Toledo,did_not_win,false
ko-224,2022-06-10T10:50:00-03:00,Tiago Leifert,Thais Bilenky,did_not_win,false
ko-223,2022-06-17T10:50:00-03:00,Renan Bolsonaro,Fernando de Barros e Silva,did_not_win,false
ko-223,2022-06-17T10:50:00-03:00,Renan Bolsonaro,José Roberto de Toledo,did_not_win,false
ko-223,2022-06-17T10:50:00-03:00,Renan Bolsonaro,Thais Bilenky,did_not_win,false
ko-222,2022-06-24T12:22:00-03:00,Supla,Fernando de Barros e Silva,did_not_win,true
ko-222,2022-06-24T12:22:00-03:00,Supla,José Roberto de Toledo,did_not_win,true
ko-222,2022-06-24T12:22:00-03:00,Supla,Thais Bilenky,winner,true
ko-221,2022-07-01T10:50:00-03:00,Frederick Wassef,Fernando de Barros e Silva,did_not_win,false
ko-221,2022-07-01T10:50:00-03:00,Frederick Wassef,José Roberto de Toledo,did_not_win,false
ko-221,2022-07-01T10:50:00-03:00,Frederick Wassef,Thais Bilenky,did_not_win,false
ko-220,2022-07-08T10:50:00-03:00,Marcelo Crivella,Fernando de Barros e Silva,winner,true
ko-220,2022-07-08T10:50:00-03:00,Marcelo Crivella,José Roberto de Toledo,did_not_win,true
ko-220,2022-07-08T10:50:00-03:00,Marcelo Crivella,Thais Bilenky,did_not_win,true
ko-219,2022-07-15T10:50:00-03:00,Bia Kicis,Fernando de Barros e Silva,did_not_win,false
ko-219,2022-07-15T10:50:00-03:00,Bia Kicis,José Roberto de Toledo,did_not_win,false
ko-219,2022-07-15T10:50:00-03:00,Bia Kicis,Thais Bilenky,did_not_win,false
ko-218,2022-07-22T10:43:00-03:00,Rogério Marinho,Fernando de Barros e Silva,did_not_win,false
ko-218,2022-07-22T10:43:00-03:00,Rogério Marinho,José Roberto de Toledo,did_not_win,false
ko-218,2022-07-22T10:43:00-03:00,Rogério Marinho,Thais Bilenky,did_not_win,false
ko-217,2022-07-29T10:50:00-03:00,Janaína Paschoal,Fernando de Barros e Silva,did_not_win,true
ko-217,2022-07-29T10:50:00-03:00,Janaína Paschoal,José Roberto de Toledo,did_not_win,true
ko-217,2022-07-29T10:50:00-03:00,Janaína Paschoal,Thais Bilenky,winner,true
ko-216,2022-08-05T10:50:00-03:00,Tom Zé,Fernando de Barros e Silva,did_not_win,true
ko-216,2022-08-05T10:50:00-03:00,Tom Zé,José Roberto de Toledo,winner,true
ko-216,2022-08-05T10:50:00-03:00,Tom Zé,Thais Bilenky,did_not_win,true
ko-214,2022-08-12T10:06:00-03:00,Luiz Felipe de Orleans e Bragança,Fernando de Barros e Silva,did_not_win,true
ko-214,2022-08-12T10:06:00-03:00,Luiz Felipe de Orleans e Bragança,José Roberto de Toledo,did_not_win,true
ko-214,2022-08-12T10:06:00-03:00,Luiz Felipe de Orleans e Bragança,Thais Bilenky,winner,true
ko-213,2022-08-19T10:50:00-03:00,Rosângela Moro,Fernando de Barros e Silva,did_not_win,true
ko-213,2022-08-19T10:50:00-03:00,Rosângela Moro,José Roberto de Toledo,did_not_win,true
ko-213,2022-08-19T10:50:00-03:00,Rosângela Moro,Thais Bilenky,winner,true
ko-212,2022-08-26T10:50:00-03:00,Fernando Collor de Mello,Fernando de Barros e Silva,did_not_win,true
ko-212,2022-08-26T10:50:00-03:00,Fernando Collor de Mello,José Roberto de Toledo,winner,true
ko-212,2022-08-26T10:50:00-03:00,Fernando Collor de Mello,Thais Bilenky,did_not_win,true
ko-211,2022-09-03T15:43:00-03:00,Marco Aurélio Mello,Fernando de Barros e Silva,winner,true
ko-211,2022-09-03T15:43:00-03:00,Marco Aurélio Mello,José Roberto de Toledo,winner,true
ko-211,2022-09-03T15:43:00-03:00,Marco Aurélio Mello,Thais Bilenky,did_not_win,true
ko-210,2022-09-03T17:32:00-03:00,Marco Aurélio Mello,Fernando de Barros e Silva,winner,true
ko-210,2022-09-03T17:32:00-03:00,Marco Aurélio Mello,José Roberto de Toledo,winner,true
ko-210,2022-09-03T17:32:00-03:00,Marco Aurélio Mello,Thais Bilenky,did_not_win,true
ko-209,2022-09-09T10:50:00-03:00,Luiz Felipe Dávila,Fernando de Barros e Silva,winner,true
ko-209,2022-09-09T10:50:00-03:00,Luiz Felipe Dávila,José Roberto de Toledo,did_not_win,true
ko-209,2022-09-09T10:50:00-03:00,Luiz Felipe Dávila,Thais Bilenky,winner,true
ko-208,2022-09-16T10:50:00-03:00,Sérgio Etchegoyen,Fernando de Barros e Silva,did_not_win,true
ko-208,2022-09-16T10:50:00-03:00,Sérgio Etchegoyen,José Roberto de Toledo,did_not_win,true
ko-208,2022-09-16T10:50:00-03:00,Sérgio Etchegoyen,Thais Bilenky,winner,true
ko-207,2022-09-23T10:50:00-03:00,Márcio França,Fernando de Barros e Silva,did_not_win,false
ko-207,2022-09-23T10:50:00-03:00,Márcio França,José Roberto de Toledo,did_not_win,false
ko-207,2022-09-23T10:50:00-03:00,Márcio França,Thais Bilenky,did_not_win,false
ko-206,2022-09-30T10:50:00-03:00,Felipe Neto,Fernando de Barros e Silva,did_not_win,true
ko-206,2022-09-30T10:50:00-03:00,Felipe Neto,José Roberto de Toledo,did_not_win,true
ko-206,2022-09-30T10:50:00-03:00,Felipe Neto,Thais Bilenky,winner,true
